,security,conformity,tradition,benevolence,universalism,self-direction,stimulation,hedonism,achievement,power
0,0.2500519,0.17173138,0.22933418,0.27507764,0.24126768,0.27152094,0.18992251,0.24716404,0.22002888,0.2682789
1,0.23371652,0.16314486,0.21625924,0.2535392,0.2264997,0.25622565,0.1842778,0.23433578,0.20559846,0.25354195
2,0.2279567,0.14211456,0.20874211,0.2548948,0.21813667,0.25306594,0.17188457,0.23650992,0.1939079,0.24431129
3,0.21718752,0.14409746,0.19152856,0.22898611,0.2034911,0.23263466,0.16721196,0.21771818,0.18212906,0.23390189
4,0.24525994,0.18137121,0.2562016,0.26663226,0.24483168,0.27345866,0.19125777,0.2410458,0.23161864,0.26875445
5,0.14110005,0.09493531,0.11230011,0.12936603,0.12729284,0.13179109,0.09521937,0.118203424,0.10508894,0.1458148
6,0.25209907,0.1798587,0.24418287,0.28554234,0.25268903,0.28151587,0.19256563,0.2554443,0.2260277,0.2698773
7,0.19360596,0.1424762,0.19529606,0.22415715,0.19230495,0.20009044,0.1453785,0.22354236,0.14264885,0.18974708
8,0.10835031,0.08929223,0.16066606,0.14057402,0.11725724,0.12535627,0.08715125,0.13817707,0.10287764,0.13586892
9,0.1371128,0.078169174,0.13107502,0.13522726,0.122571796,0.1363455,0.09668836,0.13568497,0.11828686,0.14808558
10,0.15253071,0.08006771,0.14227332,0.16454287,0.14041609,0.16001442,0.11886701,0.16230306,0.10809884,0.15712854
11,0.25786993,0.1786275,0.25107297,0.2817096,0.2520843,0.2839278,0.18892793,0.25727034,0.24526653,0.2766943
12,0.22746788,0.14266655,0.20077586,0.25034654,0.21834454,0.24792305,0.17287828,0.23448774,0.20611143,0.24198982
13,0.23157665,0.1529941,0.20653059,0.24371764,0.2178825,0.2467192,0.1784975,0.22890225,0.20415217,0.24459285
14,0.22381791,0.16225496,0.2314111,0.24768522,0.22680822,0.23521918,0.1671599,0.22486717,0.18832105,0.2484766
15,0.19897667,0.13551062,0.17069128,0.2007739,0.18373847,0.20605487,0.15277775,0.18223846,0.18154028,0.2210093
16,0.21861613,0.13831487,0.20146023,0.23341028,0.20228985,0.23002352,0.14598249,0.21202123,0.18614876,0.22460768
17,0.08917685,0.04134386,0.09203833,0.08873747,0.08039145,0.08732676,0.061357066,0.0987979,0.0556898,0.081278324
18,0.22134987,0.16053237,0.22081688,0.24424219,0.22304635,0.25203001,0.18259473,0.2343406,0.20925626,0.24287426
19,0.15869547,0.09707129,0.14872566,0.16433945,0.14788282,0.16923863,0.12637252,0.1661852,0.13365284,0.17276382
20,0.22255433,0.15780258,0.21881819,0.24979267,0.2150833,0.2408948,0.171866,0.23408905,0.18759453,0.24038814
21,0.09991257,0.051011812,0.12151632,0.11287887,0.09764404,0.107022226,0.06922504,0.11914096,0.074385166,0.1007268
22,0.21577467,0.14853144,0.20248888,0.22086307,0.20069614,0.22484866,0.1508456,0.20244277,0.18714195,0.22787282
23,0.24105658,0.17195025,0.21887758,0.23230746,0.2265182,0.24485207,0.173887,0.22181916,0.20801532,0.25844866
