session_id,participant_id,status,started_datetime,completed_date_time,time_taken,age,num_approvals,num_rejections,prolific_score,reviewed_at_datetime,entered_code,Country of Birth,Current Country of Residence,Employment Status,Ethnicity (Simplified),First Language,Nationality,Sex,Student Status
619f3e771c7a6a4ee9673286,600a3e38548d451a23b7699d,AWAITING REVIEW,2021-11-25 07:42:47.654000,2021-11-25 08:04:27.614000,1299.96,19,392,2,100,,E11857CB,United States,United States,Part-Time,Other,Spanish,United States,Female,No
619f3e95daf331020712f710,5e8fe87009881f2ee83521fb,AWAITING REVIEW,2021-11-25 07:43:34.006000,2021-11-25 08:34:47.184000,3073.178,21,67,0,100,,E11857CB,United States,United States,Unemployed (and job seeking),Asian,English,United States,Male,Yes
619f3f0804857d7df94f8737,5c3bdbf548ad2900017fac31,AWAITING REVIEW,2021-11-25 07:45:14.610000,2021-11-25 08:10:26.077000,1511.467,25,43,0,100,,E11857CB,United States,United States,Part-Time,White,English,United States,Male,Yes
619f4151364b0fb0d654a8c0,6121356207f16da426c32421,RETURNED,2021-11-25 07:55:07.022000,,354261.206745,34,86,0,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
619f41c02386eb54d48bdff7,5d295e07d3edf9001a801625,AWAITING REVIEW,2021-11-25 07:56:52.076000,2021-11-25 09:04:48.426000,4076.35,53,1132,1,100,,E11857CB,United States,United States,DATA EXPIRED,White,English,United States,Female,DATA EXPIRED
619f42b0199228bb41e4631f,5f8a029e11759508e89c651f,AWAITING REVIEW,2021-11-25 08:00:53.045000,2021-11-25 08:24:51.841000,1438.796,35,23,0,100,,E11857CB,United States,United States,DATA EXPIRED,Mixed,English,United States,Female,DATA EXPIRED
619f42b51965aa2a28c86b7f,5d464c8a4bfe160001692125,AWAITING REVIEW,2021-11-25 08:02:04.613000,2021-11-25 08:31:55.899000,1791.286,24,647,2,100,,E11857CB,Canada,United States,Other,Other,English,Canada,Female,No
619f43227bee7238f26ad494,6103c1b2686f763046713aae,AWAITING REVIEW,2021-11-25 08:02:45.701000,2021-11-25 08:30:39.743000,1674.042,26,145,0,100,,E11857CB,United States,United States,Unemployed (and job seeking),Mixed,English,United States,Female,No
619f435d364b0fb0d654a8da,5e58201b20268d0337f2428a,RETURNED,2021-11-25 08:03:41.678000,,353746.667494,42,1063,6,99,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
619f437fbff430c4a2a81923,5f0fcb780878f01cf2fc2d39,RETURNED,2021-11-25 08:04:21.057000,,353707.312106,20,84,0,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
619f44b34c709fc7a5f93a50,5f32e865bd94490a64d9c9f5,AWAITING REVIEW,2021-11-25 08:09:26.346000,2021-11-25 08:58:15.619000,2929.273,32,137,1,100,,E11857CB,United States,United States,DATA EXPIRED,White,English,United States,Male,DATA EXPIRED
619f44ccf3b9c36c74f64019,6085bb66296b0a411198d8fd,TIMED-OUT,2021-11-25 08:09:48.141000,,353380.279314,35,361,2,100,,,United States,United States,DATA EXPIRED,Black,English,United States,Male,DATA EXPIRED
619f45364381130c0bd9f3e5,6160d189384e3265f0e4271f,AWAITING REVIEW,2021-11-25 08:12:17.658000,2021-11-25 08:46:44.965000,2067.307,43,151,0,100,,E11857CB,Taiwan,United States,Part-Time,Asian,Chinese,United States,Female,No
619f458971d7707293725a75,614fe928ee74672d687154bf,AWAITING REVIEW,2021-11-25 08:13:02.449000,2021-11-25 08:29:46.620000,1004.171,45,93,0,100,,E11857CB,United States,United States,"Not in paid work (e.g. homemaker', 'retired or disabled)",White,English,United States,Female,No
619f45a5cd5b9c50d2ff73a0,5c69f9dd4b5bb30001b3d31c,AWAITING REVIEW,2021-11-25 08:13:34.880000,2021-11-25 08:52:50.555000,2355.675,52,745,2,100,,E11857CB,United States,United States,DATA EXPIRED,White,English,United States,Female,DATA EXPIRED
619f45be2386eb54d48be02a,6114c2ab3ba37f186e3a18f6,AWAITING REVIEW,2021-11-25 08:16:19.819000,2021-11-25 08:41:56.710000,1536.891,28,206,0,100,,E11857CB,United States,United States,Part-Time,White,English,United States,Male,No
619f45c770342862903ddc83,59ba4ce13849cf0001937915,AWAITING REVIEW,2021-11-25 08:14:01.799000,2021-11-25 08:34:09.944000,1208.145,22,885,5,99,,E11857CB,United States,United States,DATA EXPIRED,White,English,United States,Female,DATA EXPIRED
619f460f51bc77adec5033f9,57445a313fdc690010095688,AWAITING REVIEW,2021-11-25 08:15:12.898000,2021-11-25 08:33:11.775000,1078.877,26,454,2,100,,E11857CB,United States,United States,Unemployed (and job seeking),Black,English,United States,Male,No
619f465afe712910845a7d3b,606cba49bb285f26a3afee25,AWAITING REVIEW,2021-11-25 08:16:29.693000,2021-11-25 09:21:50.822000,3921.129,61,562,9,96,,E11857CB,United States,United States,"Not in paid work (e.g. homemaker', 'retired or disabled)",White,English,United States,Male,DATA EXPIRED
619f46bf6e06cecf9d593be4,610e261185e9ea713c044534,RETURNED,2021-11-25 08:18:10.178000,,352878.437765,30,129,2,98,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
